City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
479,Varnamo,SE,40.05,overcast clouds,57.186,14.04,Scandic
486,Kenai,US,46.02,overcast clouds,60.5544,-151.2583,Aspen Extended Stay Suites
488,Atbasar,KZ,31.91,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
491,Norfolk,US,49.77,overcast clouds,42.1668,-71.2495,Residence Inn by Marriott Boston Norwood/Canton
497,Kurchatov,RU,45.01,scattered clouds,51.6601,35.6521,Olimp
499,Ketchikan,US,44.58,overcast clouds,55.3422,-131.6461,Snow's Cove Lodge
504,Rypefjord,NO,32.47,light shower snow,70.6333,23.6667,Skytterhuset
522,Zhezkazgan,KZ,38.88,clear sky,47.8043,67.7144,Hotel Zumrat
526,Port Hardy,CA,48.38,light rain,50.6996,-127.4199,Airport Inn-Port Hardy
528,Megion,RU,30.22,light snow,61.0296,76.1136,Komfort Hotel
532,Derbent,RU,47.44,overcast clouds,42.0678,48.2899,Elit
534,Trzcianka,PL,44.8,broken clouds,53.0406,16.4563,Lodges Trzy Stawy
538,Outlook,CA,46.99,few clouds,51.5001,-107.0513,Red Wheel Motel
539,Goderich,CA,43.12,broken clouds,43.7501,-81.7165,Harmony Inn
541,Roma,US,47.73,moderate rain,43.2128,-75.4557,Wingate By Wyndham Rome
546,Moose Factory,CA,33.8,light snow,51.2585,-80.6094,Moosonee Lilypad
589,Ingham,US,44.87,overcast clouds,42.6,-84.3833,Sunset Mobile Home Park
591,Boli,CN,36.54,light rain,45.7667,130.5167,The Disabled Recovery Xunlianshi
593,Erdenet,MN,35.58,few clouds,49.0333,104.0833,Erdenet hotel
601,Truro,GB,47.48,scattered clouds,50.2653,-5.0544,Mannings Hotel
605,Idar-Oberstein,DE,46.71,overcast clouds,49.7,7.3,Opal Hotel
618,Shawnee,US,48.13,overcast clouds,39.05,-95.7669,Fairfield Inn by Marriott Topeka
622,Northam,GB,44.65,overcast clouds,51.0333,-4.2167,Durrant House Hotel
623,Arkhipo-Osipovka,RU,49.39,overcast clouds,44.37,38.52,Zolotoy Kashtan Guest House
634,Timmins,CA,39.02,mist,48.4669,-81.3331,The Senator Hotel & Conference Centre
635,Prince Albert,CA,39.15,scattered clouds,53.2001,-105.7677,"Holiday Inn Express & Suites Prince Albert, an IHG Hotel"
637,Dalnerechensk,RU,34.7,overcast clouds,45.9339,133.7225,"Royal Cafe, Bar, Hotel"
638,Tawang,IN,46.45,overcast clouds,27.5833,91.8667,Hotel Mount View
658,Baraboo,US,44.74,overcast clouds,43.4711,-89.7443,Thunderbird Motor Inn
659,Whitehaven,GB,39.74,few clouds,54.549,-3.5841,Premier Inn Whitehaven hotel
664,Monster,NL,44.98,broken clouds,52.0258,4.175,Vakantiepark Kijkduin
666,Olga,RU,39.45,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
675,Beatrice,US,44.19,overcast clouds,40.2681,-96.747,Victorian Inn Beatrice
679,Enkoping,SE,35.71,light snow,59.6361,17.0777,Best Western Hotel Park Astoria
680,Changli,CN,48.09,few clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
683,Cobourg,DE,46.78,scattered clouds,50.2667,10.9667,Vienna House Easy Coburg
